country,country_name,date,variable,value
EU,European Union,2018-09-10,Euro 95,1.48
EU,European Union,2018-09-03,Euro 95,1.47
EU,European Union,2018-08-27,Euro 95,1.46
EU,European Union,2018-08-20,Euro 95,1.46
EU,European Union,2018-08-13,Euro 95,1.46
EU,European Union,2018-08-06,Euro 95,1.46
EU,European Union,2018-07-30,Euro 95,1.46
EU,European Union,2018-07-23,Euro 95,1.45
EU,European Union,2018-07-16,Euro 95,1.46
EU,European Union,2018-07-09,Euro 95,1.45
EU,European Union,2018-07-02,Euro 95,1.45
EU,European Union,2018-06-25,Euro 95,1.45
EU,European Union,2018-06-18,Euro 95,1.46
EU,European Union,2018-06-11,Euro 95,1.46
EU,European Union,2018-06-04,Euro 95,1.47
EU,European Union,2018-05-28,Euro 95,1.47
EU,European Union,2018-05-21,Euro 95,1.46
EU,European Union,2018-05-14,Euro 95,1.43
EU,European Union,2018-05-07,Euro 95,1.42
EU,European Union,2018-04-30,Euro 95,1.41
EU,European Union,2018-04-23,Euro 95,1.4
EU,European Union,2018-04-16,Euro 95,1.39
EU,European Union,2018-04-09,Euro 95,1.38
EU,European Union,2018-03-26,Euro 95,1.36
EU,European Union,2018-03-19,Euro 95,1.35
EU,European Union,2018-03-12,Euro 95,1.35
EU,European Union,2018-03-05,Euro 95,1.35
EU,European Union,2018-02-26,Euro 95,1.36
EU,European Union,2018-02-19,Euro 95,1.36
EU,European Union,2018-02-12,Euro 95,1.37
EU,European Union,2018-02-05,Euro 95,1.38
EU,European Union,2018-01-29,Euro 95,1.39
EU,European Union,2018-01-22,Euro 95,1.38
EU,European Union,2018-01-15,Euro 95,1.38
EU,European Union,2018-01-08,Euro 95,1.38
EU,European Union,2018-01-01,Euro 95,1.37
EU,European Union,2017-12-18,Euro 95,1.36
EU,European Union,2017-12-11,Euro 95,1.36
EU,European Union,2017-12-04,Euro 95,1.36
EU,European Union,2017-11-27,Euro 95,1.36
EU,European Union,2017-11-20,Euro 95,1.36
EU,European Union,2017-11-13,Euro 95,1.36
EU,European Union,2017-11-06,Euro 95,1.36
EU,European Union,2017-10-30,Euro 95,1.35
EU,European Union,2017-10-23,Euro 95,1.34
EU,European Union,2017-10-16,Euro 95,1.34
EU,European Union,2017-10-09,Euro 95,1.34
EU,European Union,2017-10-02,Euro 95,1.35
EU,European Union,2017-09-25,Euro 95,1.35
EU,European Union,2017-09-18,Euro 95,1.35
EU,European Union,2017-09-11,Euro 95,1.35
EU,European Union,2017-09-04,Euro 95,1.34
EU,European Union,2017-08-28,Euro 95,1.32
EU,European Union,2017-08-21,Euro 95,1.32
EU,European Union,2017-08-14,Euro 95,1.32
EU,European Union,2017-08-07,Euro 95,1.32
EU,European Union,2017-07-31,Euro 95,1.31
EU,European Union,2017-07-24,Euro 95,1.31
EU,European Union,2017-07-17,Euro 95,1.31
EU,European Union,2017-07-10,Euro 95,1.31
EU,European Union,2017-07-03,Euro 95,1.31
EU,European Union,2017-06-26,Euro 95,1.31
EU,European Union,2017-06-19,Euro 95,1.32
EU,European Union,2017-06-12,Euro 95,1.33
EU,European Union,2017-06-05,Euro 95,1.34
EU,European Union,2017-05-29,Euro 95,1.35
EU,European Union,2017-05-22,Euro 95,1.35
EU,European Union,2017-05-15,Euro 95,1.35
EU,European Union,2017-05-08,Euro 95,1.36
EU,European Union,2017-05-01,Euro 95,1.38
EU,European Union,2017-04-24,Euro 95,1.39
EU,European Union,2017-04-10,Euro 95,1.37
EU,European Union,2017-04-03,Euro 95,1.36
EU,European Union,2017-03-27,Euro 95,1.35
EU,European Union,2017-03-20,Euro 95,1.35
EU,European Union,2017-03-13,Euro 95,1.37
EU,European Union,2017-03-06,Euro 95,1.38
EU,European Union,2017-02-27,Euro 95,1.39
EU,European Union,2017-02-20,Euro 95,1.39
EU,European Union,2017-02-13,Euro 95,1.39
EU,European Union,2017-02-06,Euro 95,1.38
EU,European Union,2017-01-30,Euro 95,1.38
EU,European Union,2017-01-23,Euro 95,1.38
EU,European Union,2017-01-16,Euro 95,1.37
EU,European Union,2017-01-09,Euro 95,1.37
EU,European Union,2017-01-02,Euro 95,1.37
EU,European Union,2016-12-19,Euro 95,1.35
EU,European Union,2016-12-12,Euro 95,1.34
EU,European Union,2016-12-05,Euro 95,1.33
EU,European Union,2016-11-28,Euro 95,1.31
EU,European Union,2016-11-21,Euro 95,1.3
EU,European Union,2016-11-14,Euro 95,1.31
EU,European Union,2016-11-07,Euro 95,1.31
EU,European Union,2016-10-31,Euro 95,1.31
EU,European Union,2016-10-24,Euro 95,1.32
